Software,Feces,Locus,Proportion_genotyped,Genotyping_success,Mean_depth,w_genotypes,w_success
chiimp,5866,locCPH6,0.83,0.20,63.17,6,5
chiimp,5866,locCPH7,0.67,0.25,182.50,6,4
chiimp,5866,locVWF,1.00,1.00,264.00,6,6
chiimp,5866,locc2096,0.50,0.33,20.67,6,3
chiimp,5866,locu109,0.17,0.00,20.50,6,1
chiimp,5866,locu140,0.83,0.00,110.50,6,5
chiimp,5866,locu172,0.33,0.00,51.67,6,2
chiimp,5866,locu173,1.00,0.00,120.67,6,6
chiimp,5866,locu204,0.67,1.00,77.00,6,4
chiimp,5866,locu225,0.83,0.20,245.60,6,5
chiimp,5866,locu279,1.00,0.00,611.50,6,6
chiimp,5867,loc366,1.00,1.00,1754.33,6,6
chiimp,5867,loc377,1.00,0.17,1699.83,6,6
chiimp,5867,loc410,1.00,0.00,383.67,6,6
chiimp,5867,loc466,1.00,0.00,838.50,6,6
chiimp,5867,loc474,1.00,1.00,1282.67,6,6
chiimp,5867,locAHT_H171,1.00,0.83,1505.67,6,6
chiimp,5867,locCPH2,1.00,1.00,1082.33,6,6
chiimp,5867,locCPH5,1.00,0.67,1011.33,6,6
chiimp,5867,locCPH6,1.00,0.00,1929.00,6,6
chiimp,5867,locCPH7,1.00,0.83,1975.83,6,6
chiimp,5867,locVWF,1.00,1.00,3897.50,6,6
chiimp,5867,locc2096,1.00,1.00,417.17,6,6
chiimp,5867,locu109,1.00,1.00,326.67,6,6
chiimp,5867,locu140,1.00,0.83,5082.17,6,6
chiimp,5867,locu172,1.00,0.83,959.67,6,6
chiimp,5867,locu173,1.00,1.00,1816.00,6,6
chiimp,5867,locu204,1.00,1.00,914.17,6,6
chiimp,5867,locu225,1.00,1.00,2471.00,6,6
chiimp,5867,locu279,1.00,0.00,5574.33,6,6
chiimp,5870,loc366,1.00,0.67,93.33,6,6
chiimp,5870,loc377,0.50,0.33,108.17,6,3
chiimp,5870,loc410,0.83,0.80,44.33,6,5
chiimp,5870,loc466,0.83,0.80,48.67,6,5
chiimp,5870,loc474,1.00,0.83,134.67,6,6
chiimp,5870,locAHT_H171,1.00,0.00,245.33,6,6
chiimp,5870,locCPH2,1.00,0.83,101.50,6,6
chiimp,5870,locCPH5,1.00,0.33,82.17,6,6
chiimp,5870,locCPH6,1.00,0.00,134.50,6,6
chiimp,5870,locCPH7,0.67,0.25,107.67,6,4
chiimp,5870,locVWF,1.00,1.00,171.83,6,6
chiimp,5870,locc2096,1.00,0.83,53.33,6,6
chiimp,5870,locu109,na,na,22.67,na,na
chiimp,5870,locu140,1.00,0.00,238.33,6,6
chiimp,5870,locu172,0.83,0.00,36.67,6,5
chiimp,5870,locu173,1.00,0.17,226.33,6,6
chiimp,5870,locu204,0.50,1.00,74.50,6,3
chiimp,5870,locu225,1.00,1.00,195.00,6,6
chiimp,5870,locu279,1.00,0.00,739.33,6,6
chiimp,5871,loc366,0.67,0.50,112.83,6,4
chiimp,5871,loc377,0.50,0.00,117.50,6,3
chiimp,5871,loc410,0.83,0.40,44.00,6,5
chiimp,5871,loc466,0.83,0.20,67.67,6,5
chiimp,5871,loc474,1.00,1.00,143.00,6,6
chiimp,5871,locAHT_H171,1.00,0.00,265.33,6,6
chiimp,5871,locCPH2,1.00,0.67,87.83,6,6
chiimp,5871,locCPH5,0.83,0.00,80.83,6,5
chiimp,5871,locCPH6,1.00,0.17,115.17,6,6
chiimp,5871,locCPH7,0.67,0.00,140.17,6,4
chiimp,5871,locVWF,1.00,1.00,178.33,6,6
chiimp,5871,locc2096,1.00,1.00,47.00,6,6
chiimp,5871,locu109,0.17,0.00,40.83,6,1
chiimp,5871,locu140,1.00,0.00,270.33,6,6
chiimp,5871,locu172,1.00,0.33,50.17,6,6
chiimp,5871,locu173,1.00,0.33,235.83,6,6
chiimp,5871,locu204,0.67,1.00,74.50,6,4
chiimp,5871,locu225,0.83,0.20,128.80,6,5
chiimp,5871,locu279,1.00,0.00,839.17,6,6
chiimp,5873,loc366,1.00,0.17,100.00,6,6
chiimp,5873,loc377,1.00,0.00,150.00,6,6
chiimp,5873,loc410,0.50,0.00,42.83,6,3
chiimp,5873,loc466,0.83,0.00,85.00,6,5
chiimp,5873,loc474,0.83,0.00,66.00,6,5
chiimp,5873,locAHT_H171,0.83,0.20,284.50,6,5
chiimp,5873,locCPH2,0.83,1.00,52.50,6,5
chiimp,5873,locCPH5,0.50,0.00,109.17,6,3
chiimp,5873,locCPH6,0.83,0.00,134.67,6,5
chiimp,5873,locCPH7,1.00,0.67,252.00,6,6
chiimp,5873,locVWF,0.83,0.40,313.67,6,5
chiimp,5873,locc2096,0.50,1.00,38.00,6,3
chiimp,5873,locu109,0.17,0.00,31.00,6,1
chiimp,5873,locu140,0.83,0.80,330.50,6,5
chiimp,5873,locu172,0.67,0.00,98.17,6,4
chiimp,5873,locu173,1.00,0.00,115.00,6,6
chiimp,5873,locu204,0.83,0.20,102.00,6,5
chiimp,5873,locu225,0.83,0.80,216.17,6,5
chiimp,5873,locu279,1.00,0.00,800.17,6,6
micness,5866,loc366,0.83,1.00,73.83,6,5
micness,5866,loc377,0.67,0.25,56.33,6,4
micness,5866,loc410,0.83,0.20,21.67,6,5
micness,5866,loc466,0.67,0.25,25.00,6,4
micness,5866,loc474,1.00,0.50,53.00,6,6
micness,5866,locAHT_H171,0.83,0.20,160.33,6,5
micness,5866,locCPH2,1.00,0.50,46.83,6,6
micness,5866,locCPH5,na,na,28.67,na,na
micness,5866,locCPH6,0.83,0.40,63.17,6,5
micness,5866,locCPH7,1.00,0.33,182.50,6,6
micness,5866,locVWF,0.83,0.80,264.00,6,5
micness,5866,locc2096,0.67,0.25,20.67,6,4
micness,5866,locu109,0.33,0.00,20.50,6,2
micness,5866,locu140,0.83,0.20,110.50,6,5
micness,5866,locu172,0.33,0.00,51.67,6,2
micness,5866,locu173,1.00,1.00,120.67,6,6
micness,5866,locu204,0.67,1.00,77.00,6,4
micness,5866,locu225,0.83,0.00,245.60,6,5
micness,5866,locu279,1.00,1.00,611.50,6,6
micness,5867,loc366,1.00,1.00,1754.33,6,6
micness,5867,loc377,1.00,0.00,1699.83,6,6
micness,5867,loc410,1.00,1.00,383.67,6,6
micness,5867,loc466,1.00,0.00,838.50,6,6
